exposuretype,securitylevel,varcharext,createuserid,coverageid,createtime,compbenefitsid,averageweeklywages,daysinweek,lostpropertytype,segment,lastdayworked,ssbenefit,pipdeathbenefitsid,id,claimid,rsbenefitsid,examinationdate,ppdbenefitsid,integerext,tpdbenefitsid,wagestmtrecd,claimanttype,closedoutcome,hospitaldate,incidentlimitreached,locked,wcbenefit,settlemethod,othercovgchoice,wagebenefit,deathbenefitsid,assignedgroupid,depreciatedvalue,previousqueueid,assignmentdate,assignmentstatus,loadcommandid,metriclimitgeneration,disbenefitsid,progress,diagnosticcnsistnt,assignedbyuserid,wcpreexdisblty,updateuserid,updatetime,losscategory,treatedpatientbfr,lossparty,publicid,breakin,retired,archivepartition,validationlevel,pippersonagglimitreached,lifepensionbenefitsid,jurisdictionstate,state,coveragesubtype,previoususerid,vocbenefitsid,statlineid,priorempdataid,reopendate,isoreceivedate,claimorder,strategy,ptdbenefitsid,replacementvalue,ttdbenefitsid,wcpreexdisbltyinfo,closedate,wcbenefitsid,previousgroupid,exposuretier,riagreementgroupid,pipvocbenefitsid,isostatus,settledate,ssdibenefitsid,pipnonmedagglimitreached,assignedqueueid,pipesslimitreached,othercoverageinfo,templocationid,hospitaldays,furthertreatment,assigneduserid,isosenddate,ssdieligible,isoknown,exposurelimitreached,reopenedreason,beanversion,wagestmtsent,claimantdenormid,primarycoverage,currentconditions,incidentid,newempdataid,rigroupsetexternally,pipclaimagglimitreached,othercoverage,contactpermitted
COMP,,,,COV01-1000001,2019-01-22,,,,,,,,,EXP01-10003,CLM01-1000457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100631,,,,,
PD,,,,COV01-1000001,2018-02-13,,,,,,,,,EXP01-10005,CLM01-1010306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100632,,,,,
BI,,,,COV01-1000002,2019-02-02,,,,,,,,,EXP01-10002,CLM01-1003144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100633,,,,,
COL,,,,COV01-1000002,2018-12-26,,,,,,,,,EXP01-10004,CLM01-1002083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2019-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100634,,,,,
PD,,,,COV01-1000002,2018-06-10,,,,,,,,,EXP01-10005,CLM01-1010568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100635,,,,,
GLASS,,,,COV01-1000001,2018-09-02,,,,,,,,,EXP01-10001,CLM01-1003120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100636,,,,,
GLASS,,,,COV01-1000004,2018-01-25,,,,,,,,,EXP01-10001,CLM01-1009530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100637,,,,,
COL,,,,COV01-1000003,2018-11-02,,,,,,,,,EXP01-10004,CLM01-1006648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100638,,,,,
GLASS,,,,COV01-1000002,2018-08-06,,,,,,,,,EXP01-10001,CLM01-1004927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100639,,,,,
COMP,,,,COV01-1000002,2018-08-18,,,,,,,,,EXP01-10003,CLM01-1005214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100640,,,,,
GLASS,,,,COV01-1000002,2018-05-06,,,,,,,,,EXP01-10001,CLM01-1002401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100641,,,,,
COMP,,,,COV01-1000001,2018-06-09,,,,,,,,,EXP01-10003,CLM01-1002197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100642,,,,,
COL,,,,COV01-1000001,2019-01-23,,,,,,,,,EXP01-10004,CLM01-1004374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100643,,,,,
COMP,,,,COV01-1000001,2018-04-03,,,,,,,,,EXP01-10003,CLM01-1000675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100644,,,,,
BI,,,,COV01-1000001,2018-03-16,,,,,,,,,EXP01-10002,CLM01-1004037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100645,,,,,
COL,,,,COV01-1000001,2018-02-16,,,,,,,,,EXP01-10004,CLM01-1005980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100646,,,,,
PD,,,,COV01-1000002,2019-01-01,,,,,,,,,EXP01-10005,CLM01-1008957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100647,,,,,
COMP,,,,COV01-1000002,2018-06-26,,,,,,,,,EXP01-10003,CLM01-1009830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100648,,,,,
COL,,,,COV01-1000002,2018-04-08,,,,,,,,,EXP01-10004,CLM01-1004797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100649,,,,,
PD,,,,COV01-1000002,2018-12-26,,,,,,,,,EXP01-10005,CLM01-1002278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2019-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100650,,,,,
COL,,,,COV01-1000002,2018-07-30,,,,,,,,,EXP01-10004,CLM01-1009382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100651,,,,,
BI,,,,COV01-1000002,2018-05-18,,,,,,,,,EXP01-10002,CLM01-1010329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100652,,,,,
GLASS,,,,COV01-1000002,2018-01-20,,,,,,,,,EXP01-10001,CLM01-1007277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100653,,,,,
BI,,,,COV01-1000001,2018-11-07,,,,,,,,,EXP01-10002,CLM01-1010876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100654,,,,,
COL,,,,COV01-1000002,2018-06-16,,,,,,,,,EXP01-10004,CLM01-1008108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100655,,,,,
COMP,,,,COV01-1000001,2018-03-21,,,,,,,,,EXP01-10003,CLM01-1003380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100656,,,,,
PD,,,,COV01-1000005,2018-10-05,,,,,,,,,EXP01-10005,CLM01-1000290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100657,,,,,
COMP,,,,COV01-1000002,2018-05-17,,,,,,,,,EXP01-10003,CLM01-1006633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100658,,,,,
GLASS,,,,COV01-1000001,2018-06-20,,,,,,,,,EXP01-10001,CLM01-1002851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100659,,,,,
COMP,,,,COV01-1000002,2018-06-01,,,,,,,,,EXP01-10003,CLM01-1007284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100660,,,,,
BI,,,,COV01-1000002,2019-02-06,,,,,,,,,EXP01-10002,CLM01-1009851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100661,,,,,
PD,,,,COV01-1000002,2018-11-05,,,,,,,,,EXP01-10005,CLM01-1001645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100662,,,,,
COL,,,,COV01-1000002,2019-01-05,,,,,,,,,EXP01-10004,CLM01-1009867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2019-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100663,,,,,
PD,,,,COV01-1000001,2018-09-18,,,,,,,,,EXP01-10005,CLM01-1008175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100664,,,,,
COMP,,,,COV01-1000002,2018-11-24,,,,,,,,,EXP01-10003,CLM01-1001697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100665,,,,,
COMP,,,,COV01-1000003,2018-08-23,,,,,,,,,EXP01-10003,CLM01-1000258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100666,,,,,
GLASS,,,,COV01-1000001,2018-11-03,,,,,,,,,EXP01-10001,CLM01-1004588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100667,,,,,
PD,,,,COV01-1000002,2018-05-05,,,,,,,,,EXP01-10005,CLM01-1009976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100668,,,,,
GLASS,,,,COV01-1000001,2018-12-17,,,,,,,,,EXP01-10001,CLM01-1001364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100669,,,,,
GLASS,,,,COV01-1000002,2019-01-15,,,,,,,,,EXP01-10001,CLM01-1008463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2019-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100670,,,,,
COMP,,,,COV01-1000002,2018-05-14,,,,,,,,,EXP01-10003,CLM01-1005513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100671,,,,,
COL,,,,COV01-1000002,2018-01-17,,,,,,,,,EXP01-10004,CLM01-1003132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100672,,,,,
COMP,,,,COV01-1000001,2018-10-23,,,,,,,,,EXP01-10003,CLM01-1008387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100673,,,,,
BI,,,,COV01-1000002,2018-08-14,,,,,,,,,EXP01-10002,CLM01-1004007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100674,,,,,
GLASS,,,,COV01-1000001,2018-09-19,,,,,,,,,EXP01-10001,CLM01-1006885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100675,,,,,
PD,,,,COV01-1000002,2018-11-11,,,,,,,,,EXP01-10005,CLM01-1003560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100676,,,,,
PD,,,,COV01-1000001,2018-03-27,,,,,,,,,EXP01-10005,CLM01-1003616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100677,,,,,
COL,,,,COV01-1000001,2018-02-19,,,,,,,,,EXP01-10004,CLM01-1004829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100678,,,,,
BI,,,,COV01-1000002,2018-11-16,,,,,,,,,EXP01-10002,CLM01-1006474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100679,,,,,
BI,,,,COV01-1000003,2018-05-01,,,,,,,,,EXP01-10002,CLM01-1002954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100680,,,,,
BI,,,,COV01-1000002,2018-11-10,,,,,,,,,EXP01-10002,CLM01-1003047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100681,,,,,
BI,,,,COV01-1000002,2018-05-11,,,,,,,,,EXP01-10002,CLM01-1003286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100682,,,,,
COL,,,,COV01-1000005,2018-05-22,,,,,,,,,EXP01-10004,CLM01-1009762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100683,,,,,
PD,,,,COV01-1000002,2018-03-20,,,,,,,,,EXP01-10005,CLM01-1008026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100684,,,,,
BI,,,,COV01-1000002,2018-11-12,,,,,,,,,EXP01-10002,CLM01-1001658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100685,,,,,
GLASS,,,,COV01-1000002,2018-11-28,,,,,,,,,EXP01-10001,CLM01-1000791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100686,,,,,
PD,,,,COV01-1000001,2018-07-30,,,,,,,,,EXP01-10005,CLM01-1002793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100687,,,,,
GLASS,,,,COV01-1000001,2019-01-09,,,,,,,,,EXP01-10001,CLM01-1005652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100688,,,,,
GLASS,,,,COV01-1000001,2018-03-20,,,,,,,,,EXP01-10001,CLM01-1004719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100689,,,,,
PD,,,,COV01-1000004,2019-01-27,,,,,,,,,EXP01-10005,CLM01-1000495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100690,,,,,
GLASS,,,,COV01-1000001,2018-08-29,,,,,,,,,EXP01-10001,CLM01-1000415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100691,,,,,
COL,,,,COV01-1000004,2018-05-21,,,,,,,,,EXP01-10004,CLM01-1004394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100692,,,,,
BI,,,,COV01-1000001,2018-12-23,,,,,,,,,EXP01-10002,CLM01-1003756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100693,,,,,
GLASS,,,,COV01-1000002,2018-07-30,,,,,,,,,EXP01-10001,CLM01-1007499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100694,,,,,
GLASS,,,,COV01-1000001,2018-09-02,,,,,,,,,EXP01-10001,CLM01-1008080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100695,,,,,
COMP,,,,COV01-1000001,2018-08-05,,,,,,,,,EXP01-10003,CLM01-1005906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100696,,,,,
PD,,,,COV01-1000002,2019-01-27,,,,,,,,,EXP01-10005,CLM01-1005582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100697,,,,,
BI,,,,COV01-1000001,2018-06-07,,,,,,,,,EXP01-10002,CLM01-1000822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100698,,,,,
GLASS,,,,COV01-1000002,2018-06-04,,,,,,,,,EXP01-10001,CLM01-1001732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100699,,,,,
BI,,,,COV01-1000002,2018-07-26,,,,,,,,,EXP01-10002,CLM01-1010263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100700,,,,,
PD,,,,COV01-1000001,2018-09-21,,,,,,,,,EXP01-10005,CLM01-1007416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100701,,,,,
PD,,,,COV01-1000002,2018-07-04,,,,,,,,,EXP01-10005,CLM01-1003994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100702,,,,,
COL,,,,COV01-1000002,2018-10-22,,,,,,,,,EXP01-10004,CLM01-1001435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100703,,,,,
COMP,,,,COV01-1000002,2018-09-05,,,,,,,,,EXP01-10003,CLM01-1004052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100704,,,,,
BI,,,,COV01-1000004,2018-08-22,,,,,,,,,EXP01-10002,CLM01-1005230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100705,,,,,
PD,,,,COV01-1000004,2018-01-30,,,,,,,,,EXP01-10005,CLM01-1003074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100706,,,,,
GLASS,,,,COV01-1000001,2018-12-25,,,,,,,,,EXP01-10001,CLM01-1004460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2019-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100707,,,,,
BI,,,,COV01-1000001,2019-01-06,,,,,,,,,EXP01-10002,CLM01-1004988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100708,,,,,
PD,,,,COV01-1000001,2019-01-12,,,,,,,,,EXP01-10005,CLM01-1004839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100709,,,,,
GLASS,,,,COV01-1000001,2018-12-24,,,,,,,,,EXP01-10001,CLM01-1001730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100710,,,,,
PD,,,,COV01-1000003,2019-01-30,,,,,,,,,EXP01-10005,CLM01-1002051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100711,,,,,
COMP,,,,COV01-1000002,2018-12-04,,,,,,,,,EXP01-10003,CLM01-1005709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100712,,,,,
PD,,,,COV01-1000001,2018-12-12,,,,,,,,,EXP01-10005,CLM01-1010569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100713,,,,,
PD,,,,COV01-1000001,2018-08-24,,,,,,,,,EXP01-10005,CLM01-1008057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100714,,,,,
COL,,,,COV01-1000002,2018-10-08,,,,,,,,,EXP01-10004,CLM01-1000867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100715,,,,,
COL,,,,COV01-1000001,2018-02-17,,,,,,,,,EXP01-10004,CLM01-1002847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100716,,,,,
COL,,,,COV01-1000002,2018-04-19,,,,,,,,,EXP01-10004,CLM01-1000173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100717,,,,,
GLASS,,,,COV01-1000001,2018-03-28,,,,,,,,,EXP01-10001,CLM01-1006408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100718,,,,,
COMP,,,,COV01-1000001,2018-03-17,,,,,,,,,EXP01-10003,CLM01-1004116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100719,,,,,
